Label,Text
False,"valor de la semana pasada 118 , valor esta semana 166"
True,"valor de la semana pasada 82 , valor esta semana 61"
True,"valor de la semana pasada 439 , valor esta semana 363"
False,"valor de la semana pasada 244 , valor esta semana 250"
True,"valor de la semana pasada 299 , valor esta semana 229"
False,"valor de la semana pasada 271 , valor esta semana 320"
False,"valor de la semana pasada 51 , valor esta semana 68"
False,"valor de la semana pasada 419 , valor esta semana 456"
False,"valor de la semana pasada 102 , valor esta semana 103"
True,"valor de la semana pasada 61 , valor esta semana 47"
False,"valor de la semana pasada 54 , valor esta semana 78"
True,"valor de la semana pasada 401 , valor esta semana 246"
True,"valor de la semana pasada 421 , valor esta semana 143"
True,"valor de la semana pasada 441 , valor esta semana 283"
True,"valor de la semana pasada 333 , valor esta semana 148"
True,"valor de la semana pasada 396 , valor esta semana 265"
False,"valor de la semana pasada 198 , valor esta semana 224"
False,"valor de la semana pasada 478 , valor esta semana 519"
True,"valor de la semana pasada 101 , valor esta semana 67"
False,"valor de la semana pasada 111 , valor esta semana 157"
False,"valor de la semana pasada 414 , valor esta semana 441"
False,"valor de la semana pasada 309 , valor esta semana 351"
True,"valor de la semana pasada 147 , valor esta semana 105"
False,"valor de la semana pasada 305 , valor esta semana 337"
False,"valor de la semana pasada 251 , valor esta semana 253"
True,"valor de la semana pasada 295 , valor esta semana 236"
False,"valor de la semana pasada 262 , valor esta semana 285"
False,"valor de la semana pasada 330 , valor esta semana 379"
False,"valor de la semana pasada 395 , valor esta semana 400"
False,"valor de la semana pasada 274 , valor esta semana 280"
True,"valor de la semana pasada 448 , valor esta semana 231"
True,"valor de la semana pasada 239 , valor esta semana 37"
True,"valor de la semana pasada 290 , valor esta semana 231"
True,"valor de la semana pasada 381 , valor esta semana 287"
False,"valor de la semana pasada 166 , valor esta semana 215"
False,"valor de la semana pasada 152 , valor esta semana 187"
True,"valor de la semana pasada 168 , valor esta semana 118"
False,"valor de la semana pasada 483 , valor esta semana 512"
False,"valor de la semana pasada 187 , valor esta semana 225"
True,"valor de la semana pasada 423 , valor esta semana 409"
False,"valor de la semana pasada 312 , valor esta semana 345"
False,"valor de la semana pasada 448 , valor esta semana 475"
True,"valor de la semana pasada 78 , valor esta semana 53"
False,"valor de la semana pasada 341 , valor esta semana 373"
True,"valor de la semana pasada 261 , valor esta semana 121"
True,"valor de la semana pasada 262 , valor esta semana 167"
False,"valor de la semana pasada 326 , valor esta semana 365"
True,"valor de la semana pasada 219 , valor esta semana 37"
True,"valor de la semana pasada 461 , valor esta semana 120"
False,"valor de la semana pasada 331 , valor esta semana 336"
False,"valor de la semana pasada 458 , valor esta semana 474"
False,"valor de la semana pasada 66 , valor esta semana 109"
True,"valor de la semana pasada 86 , valor esta semana 31"
True,"valor de la semana pasada 281 , valor esta semana 223"
True,"valor de la semana pasada 193 , valor esta semana 58"
False,"valor de la semana pasada 458 , valor esta semana 480"
True,"valor de la semana pasada 198 , valor esta semana 70"
False,"valor de la semana pasada 180 , valor esta semana 190"
True,"valor de la semana pasada 386 , valor esta semana 180"
False,"valor de la semana pasada 282 , valor esta semana 313"
True,"valor de la semana pasada 292 , valor esta semana 189"
True,"valor de la semana pasada 247 , valor esta semana 233"
True,"valor de la semana pasada 146 , valor esta semana 62"
False,"valor de la semana pasada 423 , valor esta semana 436"
True,"valor de la semana pasada 360 , valor esta semana 40"
True,"valor de la semana pasada 165 , valor esta semana 67"
False,"valor de la semana pasada 68 , valor esta semana 78"
False,"valor de la semana pasada 278 , valor esta semana 321"
False,"valor de la semana pasada 268 , valor esta semana 282"
False,"valor de la semana pasada 372 , valor esta semana 405"
True,"valor de la semana pasada 280 , valor esta semana 196"
True,"valor de la semana pasada 65 , valor esta semana 50"
False,"valor de la semana pasada 387 , valor esta semana 390"
True,"valor de la semana pasada 427 , valor esta semana 138"
True,"valor de la semana pasada 498 , valor esta semana 66"
True,"valor de la semana pasada 489 , valor esta semana 182"
True,"valor de la semana pasada 430 , valor esta semana 319"
True,"valor de la semana pasada 179 , valor esta semana 173"
False,"valor de la semana pasada 499 , valor esta semana 536"
True,"valor de la semana pasada 469 , valor esta semana 321"
True,"valor de la semana pasada 285 , valor esta semana 252"
False,"valor de la semana pasada 495 , valor esta semana 540"
False,"valor de la semana pasada 368 , valor esta semana 392"
True,"valor de la semana pasada 152 , valor esta semana 56"
False,"valor de la semana pasada 343 , valor esta semana 370"
True,"valor de la semana pasada 352 , valor esta semana 83"
True,"valor de la semana pasada 390 , valor esta semana 288"
True,"valor de la semana pasada 305 , valor esta semana 235"
True,"valor de la semana pasada 194 , valor esta semana 81"
True,"valor de la semana pasada 489 , valor esta semana 318"
True,"valor de la semana pasada 450 , valor esta semana 249"
True,"valor de la semana pasada 159 , valor esta semana 54"
True,"valor de la semana pasada 478 , valor esta semana 310"
False,"valor de la semana pasada 226 , valor esta semana 269"
True,"valor de la semana pasada 323 , valor esta semana 302"
True,"valor de la semana pasada 170 , valor esta semana 40"
True,"valor de la semana pasada 93 , valor esta semana 40"
True,"valor de la semana pasada 325 , valor esta semana 200"
False,"valor de la semana pasada 357 , valor esta semana 373"
True,"valor de la semana pasada 238 , valor esta semana 59"
True,"valor de la semana pasada 199 , valor esta semana 184"
False,"valor de la semana pasada 449 , valor esta semana 480"
False,"valor de la semana pasada 119 , valor esta semana 168"
True,"valor de la semana pasada 103 , valor esta semana 82"
True,"valor de la semana pasada 87 , valor esta semana 80"
False,"valor de la semana pasada 125 , valor esta semana 146"
False,"valor de la semana pasada 108 , valor esta semana 158"
True,"valor de la semana pasada 243 , valor esta semana 170"
False,"valor de la semana pasada 164 , valor esta semana 181"
False,"valor de la semana pasada 236 , valor esta semana 272"
False,"valor de la semana pasada 323 , valor esta semana 352"
True,"valor de la semana pasada 191 , valor esta semana 41"
True,"valor de la semana pasada 473 , valor esta semana 344"
True,"valor de la semana pasada 393 , valor esta semana 241"
False,"valor de la semana pasada 108 , valor esta semana 158"
True,"valor de la semana pasada 70 , valor esta semana 67"
True,"valor de la semana pasada 265 , valor esta semana 145"
False,"valor de la semana pasada 135 , valor esta semana 145"
False,"valor de la semana pasada 430 , valor esta semana 457"
False,"valor de la semana pasada 243 , valor esta semana 277"
True,"valor de la semana pasada 468 , valor esta semana 159"
True,"valor de la semana pasada 414 , valor esta semana 81"
False,"valor de la semana pasada 156 , valor esta semana 158"
True,"valor de la semana pasada 63 , valor esta semana 48"
False,"valor de la semana pasada 421 , valor esta semana 449"
True,"valor de la semana pasada 250 , valor esta semana 46"
False,"valor de la semana pasada 82 , valor esta semana 120"
True,"valor de la semana pasada 283 , valor esta semana 85"
False,"valor de la semana pasada 451 , valor esta semana 485"
False,"valor de la semana pasada 494 , valor esta semana 536"
True,"valor de la semana pasada 232 , valor esta semana 168"
True,"valor de la semana pasada 156 , valor esta semana 61"
True,"valor de la semana pasada 234 , valor esta semana 101"
False,"valor de la semana pasada 95 , valor esta semana 123"
False,"valor de la semana pasada 96 , valor esta semana 137"
False,"valor de la semana pasada 223 , valor esta semana 247"
True,"valor de la semana pasada 207 , valor esta semana 77"
False,"valor de la semana pasada 212 , valor esta semana 249"
True,"valor de la semana pasada 205 , valor esta semana 55"
False,"valor de la semana pasada 328 , valor esta semana 366"
True,"valor de la semana pasada 97 , valor esta semana 32"
True,"valor de la semana pasada 463 , valor esta semana 67"
False,"valor de la semana pasada 187 , valor esta semana 191"
True,"valor de la semana pasada 423 , valor esta semana 355"
True,"valor de la semana pasada 55 , valor esta semana 41"
True,"valor de la semana pasada 302 , valor esta semana 108"
False,"valor de la semana pasada 101 , valor esta semana 151"
True,"valor de la semana pasada 217 , valor esta semana 200"
True,"valor de la semana pasada 138 , valor esta semana 49"
False,"valor de la semana pasada 122 , valor esta semana 142"
True,"valor de la semana pasada 206 , valor esta semana 161"
False,"valor de la semana pasada 477 , valor esta semana 495"
False,"valor de la semana pasada 114 , valor esta semana 123"
False,"valor de la semana pasada 329 , valor esta semana 331"
True,"valor de la semana pasada 449 , valor esta semana 349"
False,"valor de la semana pasada 461 , valor esta semana 496"
False,"valor de la semana pasada 480 , valor esta semana 524"
True,"valor de la semana pasada 155 , valor esta semana 85"
True,"valor de la semana pasada 325 , valor esta semana 156"
False,"valor de la semana pasada 179 , valor esta semana 222"
False,"valor de la semana pasada 278 , valor esta semana 313"
False,"valor de la semana pasada 178 , valor esta semana 212"
True,"valor de la semana pasada 282 , valor esta semana 244"
True,"valor de la semana pasada 223 , valor esta semana 154"
False,"valor de la semana pasada 62 , valor esta semana 88"
True,"valor de la semana pasada 342 , valor esta semana 211"
True,"valor de la semana pasada 346 , valor esta semana 94"
True,"valor de la semana pasada 120 , valor esta semana 65"
False,"valor de la semana pasada 253 , valor esta semana 264"
True,"valor de la semana pasada 363 , valor esta semana 278"
True,"valor de la semana pasada 53 , valor esta semana 40"
False,"valor de la semana pasada 306 , valor esta semana 334"
False,"valor de la semana pasada 401 , valor esta semana 415"
True,"valor de la semana pasada 172 , valor esta semana 152"
False,"valor de la semana pasada 165 , valor esta semana 186"
False,"valor de la semana pasada 336 , valor esta semana 382"
True,"valor de la semana pasada 384 , valor esta semana 360"
True,"valor de la semana pasada 162 , valor esta semana 48"
False,"valor de la semana pasada 440 , valor esta semana 463"
False,"valor de la semana pasada 131 , valor esta semana 181"
True,"valor de la semana pasada 154 , valor esta semana 118"
False,"valor de la semana pasada 203 , valor esta semana 226"
False,"valor de la semana pasada 134 , valor esta semana 181"
False,"valor de la semana pasada 287 , valor esta semana 294"
False,"valor de la semana pasada 360 , valor esta semana 396"
True,"valor de la semana pasada 243 , valor esta semana 94"
True,"valor de la semana pasada 268 , valor esta semana 175"
False,"valor de la semana pasada 418 , valor esta semana 421"
False,"valor de la semana pasada 303 , valor esta semana 348"
True,"valor de la semana pasada 376 , valor esta semana 293"
True,"valor de la semana pasada 482 , valor esta semana 403"
False,"valor de la semana pasada 70 , valor esta semana 75"
True,"valor de la semana pasada 463 , valor esta semana 81"
False,"valor de la semana pasada 186 , valor esta semana 191"
False,"valor de la semana pasada 121 , valor esta semana 160"
False,"valor de la semana pasada 481 , valor esta semana 524"
True,"valor de la semana pasada 408 , valor esta semana 153"
True,"valor de la semana pasada 485 , valor esta semana 440"
True,"valor de la semana pasada 271 , valor esta semana 262"
True,"valor de la semana pasada 216 , valor esta semana 189"
False,"valor de la semana pasada 299 , valor esta semana 306"
False,"valor de la semana pasada 270 , valor esta semana 296"
False,"valor de la semana pasada 110 , valor esta semana 127"
True,"valor de la semana pasada 177 , valor esta semana 173"
False,"valor de la semana pasada 52 , valor esta semana 85"
False,"valor de la semana pasada 274 , valor esta semana 275"
False,"valor de la semana pasada 371 , valor esta semana 386"
True,"valor de la semana pasada 477 , valor esta semana 118"
True,"valor de la semana pasada 195 , valor esta semana 81"
True,"valor de la semana pasada 189 , valor esta semana 94"
